text,label
具备团队管理经验；具有团队合作精神；具有良好的团队精神, 1
Develop and maintain relationships with clients， during the projects and as part of overall business development efforts, 2
逐步推广使用电脑信息系统处理营销资料, 2
雅思（IELTS）7 分证书，较强的英语会话、书写能力, 2
对区域内人员进行管理，给小组成员定期进行培训, 1
较强的组织能力与团队管理能力, 1
确保现有供应商和新开发供应商为我司战略合作伙伴关系, 2
协助新闻团队拍摄工作, 2
实施公司新员工培训、推动关键人才培养计划、产品培训、销售培训等落地工作, 0
进行元器件性能及匹配性测试, 0
大规模生产工艺研究和落地, 0
实行动态安全库存控制，滚动多日/多周计划驱动供应商备料送料, 0
协同业务一号位设计业务战略方向, 2
负责社区开奖，打卡，考证人故事会等话题活动，包括创意产出，文案撰写，活动宣发，复盘总结, 2
擅长多项目管理、资源协调与沟通；善于跨部门协作沟通, 2
吃苦耐劳、认真细致；工作认真仔细, 0
对价格敏感，有较可的议价及谈判能力, 2
善于沟通协同, 2
极强的管理能力、计划能力, 0
负责心理活动的策划和开展, 0
组织并开展越南三年战略规划项目, 1
良好的逻辑化表达能力, 2
熟悉供应商情况, 1
每年向被审计单位提供会计政策更新培训, 1
执行采购合同订单的下发、物料验收及付款流程，履行跟进落实工作, 0
同新加坡HQ财务团队沟通, 2
负责协调处理客户交付过程中的各类异常，保障交付, 2
确保良好合作和沟通氛围的建设, 2
主策划了2 次大型校级活动, 2
高效的组织能力, 0
推动能力强, 1
协助制定项目媒介推广的方案, 2
协助班级成员了解信息、分享比赛资讯、参与比赛, 2
提升部门生鲜团队数据分析能力, 1
协调校团委各部门工作, 2
协助俱乐部与俱乐部赞助商洽谈赞助细节, 2
帮助多位网球零基础同学实现专业性转化, 1
实现客户订单准时快速交付, 0
进行组织设置、岗位设置与人员配备方案，筹划并实施人才储备及梯队建设, 1
负责过数十个国际咨询公司合作实施人力资源管理项目, 0
具备较强的组织协调能力, 2
引入和顺利完成第三方审计, 0
深度触达 200 多个客户并孵化了 8 个意向客户，在部门中高度完成每日过程指标，指标量排名第一, 0
组织召开产供销会议与供应商联席会议, 0
负责通过各种渠道开发和维护国外客户，如阿里巴巴国际站、社交软件、展会等，了解客户需求和市场动态，提供专业的产品咨询和报价, 2
出具相关分析报告供管理层决策, 2
组织最优资源确保销售目标达成, 0
协助开展活动，布置会场，筹备工作, 2
盘点人力资源部门各个模块工作情况, 0
及时跟进并响应品类/销售BD需求，输出响应报告，助力业务增长, 0
督导应收款回款跟进及存货周转效率的提升, 2
协助主班老师开展一日生活流程, 2
保持与客户良好的沟通，与客户讨论并起草管理建议书, 2
处理客户突发事件, 0
负责大客户的公关和管理工作，确保运营项目的知名度和品牌的提升, 2
主要负责人, 0
较好的沟通协调能力, 2
完成营销部部长临时交办的其他任务, 0
撰写行业分析、案例分析、组织与人力资源管理等方面的文章, 2
配合完成跟客户的需求沟通, 2
负责答复、跟进及反馈用户问题，并解决一般投诉，提高获客率及复购率, 2
全面负责内审部工作, 0
高效拆解目标、推进项目执行, 1
及时并保质完成产品开发, 0
自驱力强；接受出差，执行力与工作纪律性强, 0
负责对接业务部门，协调沟通招聘事宜, 2
部门文件翻译等事宜, 2
策划、组织与执行 70 余人的跨部门联谊活动, 0
搭建品类的差异化“体系”, 0
文字输出能力；有较强的逻辑思维和沟通能力, 2
统筹、策划并开展各大小艺术类学生活动, 0
结合业务需求有效地达成用户增长目标, 0
到各个院校进行品牌电脑宣传，讲座，开展电脑线下咨询会, 2
能够与同事互分享，共成长, 1
根据不同门店特点，制定不同的商品规划策略, 0
负责在抖音找符合条件的达人进行洽谈，合作拍摄视频，进行商品推广, 2
具备较强的组织及沟通能力, 2
充分利用各种招聘渠道满足公司的人才需求, 0
跟踪使用自动补货的情况，逐步推广自动补货, 0
有良好的演讲和语言表达能力及现场感染力, 2
对内董事会、管理层的财务汇报沟通，对外例行就财务上月完成情况与投资人进行交流互动, 2
根据市场订单需求及预测，制定月度需求规划, 0
有2年团队管理经验, 1
协助运营执行推广活动, 2
负责与客户进行有效的沟通和谈判，签订合同，跟进订单的生产、发货、收款等流程，确保客户满意度和订单完成率, 2
进行商务谈判/合作意向签订，关系维护, 2
通过公司提供的招聘账号，完成地方岗位招聘的职位发布，邀约候选人, 2
主导银行融资授信工作, 1
邀约、面试、结果跟踪反馈、offer沟通, 2
参与、支持公司管理咨询产品与培训培训的研发, 0
具有较强的人际沟通、协调能力, 2
在职一个月推荐量最高达 10+人，电话沟通数最多一周达到 200+，负责的岗位有 6 个，有销售、采购、技术支持、店长等等，在职期间大大提升了自我的沟通表达能力, 2
负责组织多部门建立 S&OP 体系, 2
优秀的思辨能力、表达能力, 2
负责激励制度的制定、更新，提升公司整体产能, 1
擅长调研行业信息，撰写报告，出解决方案, 2
英语(简单沟通 CET4), 2
领导能力, 1
董事会、投资人的向上及对外管理能力, 2
负责一些供应商谈判筛选，采购调研相关工作, 2
定期组织团建活动或培训活动, 2
主导过 OA、CRM、项目管理及其它业务管理系统财务节点与 ERP 系统财务数据集成项目, 1
定期与客户高层保持沟通，接待客户高层视察，制定客户管理策略，与客户管理层建立良好的互动关系，保持与客户高层稳定粘性, 2
超额完成每周KPI指标, 0
支持日常行政类工作，如公司档案管理，办公用品管理，接待管理等, 0
完成项目需求沟通、高阶方案设计、高层领导汇报等工作, 2
协调与供应商关系, 2
负责带领新人了解并熟悉网站编辑的相关工作内容, 2
协调客户后续服务中的各种内、外部疑难问题, 2
负责集团总部相关部门重点岗位的招聘实施, 0
关注员工的培养与融入，做好人才管理、保留、员工关系处理等工作, 1
确保顺利实施落地, 0
沟通表达能力, 2
参与业务部门年度 OKR 目标输出、员工季度考核及评价、绩效反馈，制定绩效提升计划, 1
善于激发团队成员积极性，提升内部凝聚力, 1
分享项目管理经验, 1
做好监督、激励, 1
负责管理 400+名蓝领员工合理安排生产资源, 2
参与校招相关活动，包括文案、材料设计等, 2
完成各类客户服务落地工作, 0
建立有效的内部控制制度, 0
向公司经营管理团队和集团财务部汇报公司财务状况、经营成果、资金变动和报表分析, 2
负责电源适配器项目主生产计划, 0
建立公司与上级主管部门、媒体等部门间的沟通渠道, 2
协助办理顾客的咨询业务, 2
参与编写拍摄大纲和脚本、采访、制作推文工作, 2
尽调访谈, 2
统筹零售、电商及to B全渠道需求预测和交付计划管理, 2
指导集团各单位完成费用预算线上编制、调整、实际数维护的工作, 1
负责社团年度大型专场汇报演出的策划、筹备、编排和演出, 0
普通话二级甲等；大学英语四（CET-4），良好的听说读写能力, 2
各级渠道客户关系的维护, 2
管理PMC团队, 1
预算执行与监控, 0
负责接待客户、与客户对接, 2
组织产能规划与评审、编写 MPS 与 APS, 1
流利的中英文听说读写能力, 2
团队意识强, 1
就财税意见与板块总部充分沟通, 2
监督完成有关发货情况、成本控制及折扣情况的各类报表，提供和保存采购信息记录；主导重新制定和优化商品定编数及商品引进/淘汰等规则及流程, 0
与院内顾客建立关系, 2
资金系统上线，设计自贸区跨境资金池的方案, 0
人才简历筛选和面试，人才素质模型打造，绩效框架制定，培训计划制定及执行等, 0
根据用人部门的需求进行招聘，负责发布岗位、筛选简历、邀约面试、初面、跟进 offer、候选人背调等工作, 2
沟通能力强, 2
建立有效的分工合作机制，促使团队内部、团队与其他部门高效协作, 1
优秀的思辨能力、表达能力, 2
与采购、营运等多部门合作，共同解决高库存及缺货问题, 2
与各部门及学院辅导员多方沟通，及时准确传达信息, 2
公司级培训的策划与组织, 0
优秀的谈判能力, 2
整合公司销售、产品经理、采购、生产、工程、品质、物流、项目等各部门资源, 2
跨部门横向协同, 2
具有较强的书面表达能力和口头沟通能力，能够与客户、开发人员顺畅交流，并独立完成各种文档的编写, 2
具有较强的书面表达能力和口头沟通能力，能够与客户、开发人员顺畅交流，并独立完成各种文档的编写, 2
深刻理解业务运营模式和指标，了解行业动向和市场需求，为业务目标负责, 0
加入系学生会，担任干事，负责策划相关活动的顺利举行，处理活动中的突发问题, 0
年度规划&KPI, 0
组织建立电脑销售团队，成功在四个月内销售169台电脑, 1
能对供应商进行有效的管理和约束, 2
工作能力强, 0
与顾客电话洽谈, 2
下午茶策划及订购, 2
负责计划过程风险管控及售后服务, 0
负责公司所有职能类岗位的交付工作, 0
定期与客户高层保持沟通，接待客户高层视察, 2
多次组织开展部门间业务培训与学习，并形成工作手册, 2
对供应链各模式与不同品类人、货、场的匹配具备灵活适配的能力, 2
统筹规划能力, 1
组织供应商的开发、评估与考核, 2
从0到1搭建供应链管理团队, 1
能够使用英语作为工作语言, 2
负责预算管理制度和预算编制指引文档的编写和宣贯, 2
主导招聘专项与校园招聘项目工作, 2
及时传达老师的各项通知, 2
有效调动部门间订单执行力, 2
编写 ERP 操作手册并组织培训工作, 0
完成总裁委托的其他工作, 0
高效落地人员退出机制, 0
协调与银行、工商、税务及其相关政府部门的关系, 2
活跃店铺气氛 与差评客户交流协商 使客户满意并主动修改差评, 2
企业文化宣贯等, 0
能够完成行业交付方案的制作, 2
政府关系维护、信息沟通，政府决策流程协调, 2
检查推文撰写条理逻辑以及排版问题，及时跟进推文反馈意见，根据反馈意见分析推文的质量问题加以改进以提高推文的关注量和转发量, 2
加快战略到落地的规划实现, 0
关注新员工的融入与培养, 1
参与对公司部门及关键岗位人员的工作业绩考评, 0
提升员工的满意度，降低离职率, 1
根据企业的营销目标 、市场趋向及产品定位 ，制定产品营销策划, 0
跟业务部门保持紧密有效的沟通, 2
经总裁授权，代表总裁进行重大商务，公共关系活动, 0
与采购、研发、库存管理等部门合作沟通, 2
2020—2021 年带队参加“大学生创新创业大赛”获得校级立项, 1
负责监督和指导平台总部各部门及下属公司采取有效措施, 1
负责各类销售指标的月度、季度、年度统计报表和报告的制作、编写, 2
良好的跨部门沟通能力和团队协作能力, 2
赋能销售团队业务能力，尾部及异常人员及时优化以提升整体人效, 1
近10年团队管理经验, 1
负责研发端产品性能测试, 0
带领团队优化PLM数据运作规则, 2
融洽同学关系, 2
根据业务发展的战略需求，高效协调招聘、薪酬、培训和运营团队, 2
Apply quality assurance， risk management， and confidentiality procedures in all areas of work performed and managed, 0
标书制作，合同起稿, 2
通过公司提供的资源或自主开发客户，为客户提供专业的服务, 2
领导了与食品行业的第一次跨行合作, 1
参与团支部的团日竞赛荣获省级“千入围”奖项，带领本班团支部荣获“五四红旗团支部”称号, 1
统筹规划和建设公司财务信息化系统和业务财务系统融合体系建设工作, 2
统筹并跟进活动功能, 0
负责制定IT部门年度计划, 1
通过对人的深层理解，坚定果敢地给与意见建议，提供中立的第三方/外部视角，推动团队思考活性和判断全局性, 1
良好的沟通协调能力，语言表达和写作能力、总结归纳能力, 2
负责高端人才（管理者、高端专家及优秀博士）的引入和培养，做好人才的选用育留, 1
协调能力, 2
提升供应链运营效率，推动工作协作关系, 0
辅助班子成员人岗匹配决策, 1
横向牵头各相关部门打通数据、流程、系统等信息壁垒和利益分割, 2
对于领导交办不遗余力精准达成, 0
监督执行、维护公司财务管理程序和政策，参与制定年度预算, 0
年度规划&KPI 的引擎制定, 0
每周组织召开生产协调会, 0
与客户进⾏深度访谈, 2
独立负责2个小红书、1个得物运营账号，以珠宝类进行账号定位，每周输出小红书原创笔记4-5篇，3个月获赞1w+, 0
以目标为导向, 0
参与公司各类投资项目的谈判与执行工作, 2
良好的沟通协调能力，语言表达和写作能力、总结归纳能力, 2
强大的团队意识, 1
负责搭建监察审计体系，建立及健全各项审计规范，管理制度，监督规章制度的落地实施, 0
负责公司销售及其他营销文件资料的管理、归类、整理、建档和保管工作, 0
协同各业务单元制定新的“以货驱网”战略方向, 2
合理优化薪酬激励方案, 1
撰写专项基金推介材料, 2
督导销售回款和供应商付款, 2
协助销售人员完成客户签单, 2
英语四级、英语六级，英语读写能力良好, 2
制订部门整体的人员物质激励策略，精准识别部门员工中做出突出贡献的个人，并在激励策略中在频度和幅度上予以强化, 1
规划年度降本, 0
规划、设计、完善营销/营运领域产品场景解决方案, 0
对公司的招聘计划、薪酬福利制度、绩效管理、培训、员工关系等方面进行落地执行, 0
协助开展学生社团招新宣传及班级事务宣传等大型活动, 2
帮助员工解决真正解决问题，精准高效传递正确全面的信息，帮助员工满意度、敬业度和组织效能提升, 1
负责文章排版及编辑工作，平均每周文章总计浏览量达 1.7w+, 2
语言及文字表达能力强, 2
协调配送中心、门店等针对如新店、应急预案进行特殊配货, 2
协助CFO完成2021年全国省区分季度战略目标制定及拆解, 0
负责组织公司 SAP、CRM 新系统搭建落地, 0
沟通能力（沟通无障碍，有重点，逻辑性强）；有较强的表达沟通能力，具有一定的营销服务技巧，能获得客户的信任；具备优秀的沟通能力；具备较强的沟通、协调能力；良好的沟通及表达能力；具备优秀的沟通协调能力, 2
根据市场订单需求及预测，制定月度需求规划, 0
独立开展组织与人力资源管理模块方案的设计、数据测算、制度报告撰写, 0
主持结构件采购部门管理工作, 0
作为项目的接口人，主动跟进客户需求，组织客户讨论和项目汇报, 2
组织召开生产协调会, 0
负责按照公司的规定和要求，完成相关的业务报表、费用申请、合同档案等工作，配合上级的管理和考核, 2
大学英语四级证书, 2
监督各部门流程制度的执行情况, 2
参与公司短期/大量的安全技术类岗位招聘工作，在短短2周之内，成功推荐21人进行面试, 0
与甲方以及项目管理人员沟通项目制作的细节, 2
置顶视频单条播放量1.3w+，获赞数410+，评论数100+，转发量160+, 0
组建咨询项目团队，用项目管理的方式安排工作分工，监控项目进度，控制项目风险，汇报项目进展, 1
协助微信、抖音宣传矩阵运营，配合热点、节日完成宣传排期, 0
编制年度人员招聘计划, 1
搭建关键人才的成长路径，并配套相应有效的成长机制, 1
负责公司会议组织及宣传工作, 0
组织供应商的开发、评估与考核, 0
文字写作能力, 2
良好的沟通能力和团队合作精神，有一定的组织协调能力, 2
负责客户、顾客的投诉记录，协助有关部门妥善处理, 2
带领校队队员参加各种学校交流赛，省赛，大学生运动会等等, 1
对重大战略举措进行反馈, 2
较强的跨部门协作能力, 2
具备一定的项目管理经验；有良好的团队协调，具备产品或项目全流程管理能力, 1
英语a级, 2
与各渠道KOL、博主洽谈商务合作, 2
统筹规划好每一个环节的人员落实到位, 2
文档撰写能力强, 2
落实供应资源的成本结构分析，落实采购优化及控制, 0
对平台预算异常情况预警、上报, 0
多渠道挖掘和猎取适岗人员，快速满足用人需求, 1
与候选人和内部客户保持积极有效的沟通, 2
联系并探访寄养儿童家庭, 2
组织大型赛事活动，管理社团相关事务, 0
策划组织开展院内活动, 0
根据集团、零售、事业群的战略、按照管理层讨论输出的战略屋和年度、季度、月度的财务达成预估数据，承接制定相应进销存退等供应链指标，并分解制定出季度、月度的达成重点工作计划, 0
沟通公司与中介机构、投资人间的上市相关事宜理, 2
亲和力强, 1
独⽴运营⻓⿅旅游休博园⼩红书官号，每⽉根据景区节假⽇以及⽹络热点独⽴撰写12篇稿件，持续输出景区相关的图⽂，进⾏图⽚设计并排版发布, 0
定期出具多主题多维度的管理报表、成本分析报告, 2
负责在抖音找符合条件的达人进行洽谈，合作拍摄视频，进行商品推广, 2
主导 财务标准作业流程的梳理, 1
统筹设立国内中心仓和海外仓, 1
负责销售目标的制定、分解、部署、监督实施, 0
负责客户接待：会议及展览服务，引导客户群体参观，负责沟通与登记信息, 2
完善薪酬及绩效管理体系, 1
建立和发展客户关系, 2
协助总裁的日常行政及管理事务处理, 2
向社团传递学校通知，解决问题，消息触达率 100%。与学校沟通重难点，保持信息畅通, 2
形成季度和月度完成情况的对标、评价、偏差分析和预警分析, 0
统筹组织备货备料, 2
制定并落实解决措施, 0
优秀的跨部门沟通和团队协作能力，能够强有力的推动不同产研和业务角色将工作落地，执行力强, 1
采购全程监控采购风险, 0
使赞助商利益最大化的同时为俱乐部成员、校队队员争取到了极大的资源空间, 2
负责农牧公司预算的编制、汇总、平衡、上报工作, 0
承担主要阶段性咨询模块客户解决方案的客户培训与辅导, 2
协助院长处理相关事务, 2
善于沟通协调, 2
通过科学有效的方法，推动个人才发展，组织发展和领导力项目, 0
主导梳理、设计、研讨、修正、培训与试行了 36 个流程, 1
制定西区所有门店整年品类空间调整计划, 0
维护现有客户关系，建立新客户联系，开拓新市场, 2
从0-1搭建财务团队，负责100+的省区财务团队人员管理工作，通过1年体系化的培训和生产关系重组，到12月底实现人员-15%，效率+20%, 1
有较强的沟通表达能力, 2
成功建立起“领先”系列雇主品牌与校园人才平台, 0
与第三方人力资源公司对接, 2
文字输出能力, 2
推行集采及招/邀标采购策略, 0
协调机构与项目内部关系、对外交流及日常管理等工作, 2
负责专业公司物质采购、仓库以及各项公款账期的统筹管理, 0
良好的沟通能力, 2
从0到1运营账号涨粉1000+，爆⽂5+；30天内总阅读2w+，点赞600+，收藏500+，粉丝新增200+, 0
建立和完善公司财务核算和管理制度、财务核算体系和财务监控体系, 0
做好客户，仓库客户关系维护, 2
承担全省（中移动互联网基地，2 家企业学院， 23 家地市公司，4 万员工）的招聘选拔体系实施, 0
带领团队进行业务年度预算&日常经营分析管理、SOX 合规风控流程设计、核算&收付款风险评估、国际关税解决方案, 1
制定月度排产、出货目标, 0
规划月度需求计划，制定周计划及执行, 0
制定所负责区域营运管理计划和方案，并组织实施, 1
能在规定限期内完成多个项目, 0
负责公司内部的文书工作，制定公司规章制度与合同的拟定, 2
根据半年/季/月度销售预测及周客户订单产能负荷分析结果制定产能分流计划, 0
组织能力, 0
